code,name,price,pct,main_net,main_pct,xl_net,l_net,m_net,s_net
300476,胜宏科技,248.0,9.227,1784318832,12.0581,1574317808,210001024,-1784318832,
300308,中际旭创,941.0,1.5727,1174130432,5.9253,971408128,202722304,-1174130432,
300502,新易盛,456.73,2.636,1142789136,7.0463,1023300624,119488512,-1142789136,
002080,中材科技,66.24,9.9967,932266608,10.9138,1203085488,-270818880,-932266608,
688041,海光信息,246.45,2.1004,889266768,15.4872,523743632,365523136,-889266768,
688205,德科立,243.12,10.5845,774185952,21.9648,714785952,59400000,-774185952,
600664,哈药股份,8.25,10.0,764614968,48.6019,796571246,-31956278,-764614968,
688048,长光华芯,362.23,5.9152,738333056,13.5588,294902560,443430496,-738333056,
600869,远东股份,22.94,7.1462,727927008,10.5258,730756528,-2829520,-727927008,
600150,中国船舶,41.02,3.927,717096096,13.446,348173840,368922256,-717096096,
300604,长川科技,282.53,1.001,663913248,11.2943,592056176,71857072,-663913248,
688008,澜起科技,210.1,3.7377,627469808,7.8695,491922816,135546992,-627469808,
000070,特发信息,18.98,7.2316,591303888,18.8786,606831936,-15528048,-591303888,
600522,中天科技,36.95,2.6959,589752096,6.776,577001216,12750880,-589752096,
300489,光智科技,238.81,6.3173,567052320,15.003,321957936,245094384,-567052320,
002792,通宇通讯,34.54,10.0,521219638,22.3238,502029430,19190208,-521219638,
600707,彩虹股份,9.85,6.6017,514726880,18.0745,592247232,-77520352,-514726880,
300433,蓝思科技,34.83,4.0323,513861984,13.8209,365424464,148437520,-513861984,
001389,广合科技,185.93,9.9982,490929664,19.1094,625688880,-134759216,-490929664,
000002,万科Ａ,3.65,9.9398,486386960,16.5894,444523760,41863200,-486386960,
600276,恒瑞医药,46.04,4.8508,472596736,9.1116,327320592,145276144,-472596736,
000066,中国长城,14.84,5.0992,438864195,20.9191,387714211,51149984,-438864195,
002463,沪电股份,126.0,2.0243,422754384,7.5909,203760496,218993888,-422754384,
000988,华工科技,109.51,1.5863,413080016,7.6126,321947072,91132944,-413080016,
000063,中兴通讯,33.15,2.1887,403552048,12.8489,357666352,45885696,-403552048,
000559,万向钱潮,11.72,6.3521,377322294,20.3744,296997990,80324304,-377322294,
688766,普冉股份,428.2,-0.4186,374873168,8.0184,44393856,330479312,-374873168,
002436,兴森科技,44.33,3.3815,350020608,6.3123,165451472,184569136,-350020608,
601318,中国平安,53.98,1.143,349749808,11.0572,114327504,235422304,-349749808,
300209,行云科技,37.08,8.548,334491008,8.8336,360116928,-25625920,-334491008,
002585,双星新材,12.71,10.0433,334266778,21.2841,356590026,-22323248,-334266778,
688347,华虹宏力,231.94,-0.8803,325859968,8.6403,155991200,169868768,-325859968,
300274,阳光电源,88.47,1.3983,323607728,6.5739,152803360,170804368,-323607728,
603259,药明康德,167.96,4.975,296519792,3.4793,132571664,163948128,-296519792,
300059,东方财富,18.69,1.742,288100800,8.4074,163942592,124158208,-288100800,
301080,百普赛斯,116.2,6.1381,288047024,11.7329,62136336,225910688,-288047024,
002916,深南电路,395.02,2.736,282711904,9.1451,138302960,144408944,-282711904,
300548,长芯博创,243.99,2.1734,280272240,8.8671,147760784,132511456,-280272240,
600613,神奇制药,9.25,9.9881,275466118,34.0229,238641014,36825104,-275466118,
300475,香农芯创,183.2,5.0941,266980800,3.7219,146029280,120951520,-266980800,
603663,三祥新材,49.82,10.0022,256881319,22.2022,239456775,17424544,-256881319,
688503,聚和材料,84.2,6.3803,252933353,15.6011,133735609,119197744,-252933353,
003006,百亚股份,21.21,-0.1882,250967742,23.686,-12255481,263223223,-250967742,
688025,杰普特,447.0,1.0033,240908804,17.2781,175877156,65031648,-240908804,
600721,百花医药,13.15,10.0418,237595613,16.7862,306647676,-69052063,-237595613,
002349,精华制药,8.71,9.9747,235226457,32.4594,222056026,13170431,-235226457,
601208,东材科技,52.75,2.8265,227210656,5.9288,196895712,30314944,-227210656,
603256,宏和科技,148.92,0.0874,210441968,4.8179,212592464,-2150496,-210441968,
000560,我爱我家,3.19,10.0,208139304,15.9567,236934712,-28795408,-208139304,
603228,景旺电子,110.16,5.4667,208002736,5.1472,216432736,-8430000,-208002736,
301486,致尚科技,219.28,2.4146,206738142,12.0602,76451326,130286816,-206738142,
600641,先导基电,39.76,6.5952,205725088,6.16,188572304,17152784,-205725088,
300413,芒果超媒,19.02,5.1991,205155726,8.9977,56004686,149151040,-205155726,
002589,瑞康医药,3.6,10.0917,201601543,29.4326,165682027,35919516,-201601543,
002536,飞龙股份,53.82,0.3356,198057488,6.5592,90407504,107649984,-198057488,
600938,中国海油,33.54,3.839,197283219,11.4053,330967034,-133683815,-197283219,
600900,长江电力,28.1,-0.6013,193156543,10.3095,161779343,31377200,-193156543,
688200,华峰测控,398.38,-2.3411,192407168,8.2119,66172224,126234944,-192407168,
000566,海南海药,5.07,9.9783,182239746,28.6414,188022287,-5782541,-182239746,
301666,大普微-UW,413.5,3.2975,178722554,10.7782,124118842,54603712,-178722554,
603042,华脉科技,19.03,10.0,177631813,25.3152,174964638,2667175,-177631813,
300657,弘信电子,38.49,3.7466,177577494,12.2061,102035334,75542160,-177577494,
000001,平安银行,11.73,0.2564,176339043,18.4807,93521452,82817591,-176339043,
603061,金海通,357.3,2.4399,175770279,10.8192,72371895,103398384,-175770279,
600111,北方稀土,37.88,2.7672,173448262,9.2086,98991510,74456752,-173448262,
688146,中船特气,238.03,-0.4891,172416448,5.1473,40500160,131916288,-172416448,
300110,华仁药业,3.29,20.073,172274976,28.6366,0,172274976,-172274976,
688141,杰华特,114.73,1.3785,168721264,9.0579,120044464,48676800,-168721264,
688082,盛美上海,293.5,0.2493,166099720,12.9186,6646232,159453488,-166099720,
301373,凌玮科技,123.58,4.3398,165838439,11.9838,19085863,146752576,-165838439,
